,Account,Date,Text,Compound Score,Positive Score,Negative Score,Neutral Score
119,CBSNews,06/03/2018,"Tonight, celebrity chef José Andrés has prepared more hot meals in Puerto Rico after Hurricane Maria than any of th… https://t.co/Ocu6CR9EH0",0.2263,0.087,0.0,0.913
120,CBSNews,06/03/2018,Watch NBA Finals 2018: Cleveland Cavaliers vs. Golden State Warriors for the fourth consecutive year… https://t.co/8rmeHJVFAv,0.0,0.0,0.0,1.0
121,CBSNews,06/03/2018,"Jimmy Fallon surprises Parkland students at high school graduation: ""Don't let anything stop you""… https://t.co/MbLpAlhT9N",0.4191,0.226,0.0,0.774
122,CBSNews,06/03/2018,"Woman held gun to head, fired shots near San Diego marathon, police say https://t.co/zp2Xosaaeg https://t.co/SPJ1cyimW4",-0.7184,0.0,0.316,0.684
123,CBSNews,06/03/2018,"Woman admitted to shooting and killing husband, says it was because he beat family cat, police say… https://t.co/ZZPmyGZFSB",-0.6124,0.064,0.202,0.734
124,CBSNews,06/03/2018,Hang glider pilot dies in Idaho air show accident https://t.co/AlXgBl0PUQ https://t.co/bvrfnvMZ0V,-0.4767,0.0,0.237,0.763
125,CBSNews,06/03/2018,Remembering 1968: The loss of RFK fifty years ago https://t.co/3cZJURGRZN https://t.co/2g5mlSi8mD,-0.3182,0.0,0.187,0.813
126,CBSNews,06/03/2018,Woman who went into labor during final exam graduates from Harvard Law School with her daughter in her arms… https://t.co/8dSfQgQbZO,0.0,0.0,0.0,1.0
127,CBSNews,06/03/2018,"""You may say I'm a dreamer...""
This 10-year-old performed John Lennon's ""Imagine"" for his school talent show and a… https://t.co/Qrhpn2XI8w",0.4215,0.135,0.0,0.865
128,CBSNews,06/03/2018,Stephen Stills and Judy Collins playing beautiful music together after breakup years ago https://t.co/huVOY3TTHp https://t.co/0vrjsmVBgr,0.6908,0.305,0.0,0.695
129,CBSNews,06/03/2018,"One third of the Senate is up for election this year.
Here are seven Senate midterm elections you should watch out… https://t.co/gL1txKxySU",0.0,0.0,0.0,1.0
130,CBSNews,06/03/2018,Former President Bill Clinton and the world's bestselling author James Patterson co-author a political thriller… https://t.co/cSEtXfx79P,0.0,0.0,0.0,1.0
131,CBSNews,06/03/2018,FBI agent under investigation for accidental shooting at Denver nightclub https://t.co/dSpxmCiEC5 https://t.co/RN40AF71Sj,-0.0772,0.0,0.106,0.894
132,CBSNews,06/03/2018,Woman faces manslaughter charges after deadly hit-and-run at little league baseball field in Maine… https://t.co/ELwPLNNfiI,-0.2732,0.0,0.13,0.87
133,CBSNews,06/03/2018,"Rep. Will Hurd says he thinks it would be a ""terrible move"" for President Trump to pardon himself. 

""I think peopl… https://t.co/Z6UkRGwWgZ",-0.2023,0.094,0.127,0.779
134,CBSNews,06/03/2018,Who will pay for Kim Jong Un's hotel stay in Singapore during summit with President Trump? https://t.co/vwma70d4qg https://t.co/HgbBOdCAr3,-0.1027,0.0,0.076,0.924
135,CBSNews,06/03/2018,"Fourth-grader's rendition of John Lennon's ""Imagine"" at school talent show goes viral https://t.co/B3D7QUCvtO https://t.co/kvzqTR9a1n",0.4215,0.177,0.0,0.823
136,CBSNews,06/03/2018,North Korea experts' advice to President Trump: Keep summit as simple as possible https://t.co/Acudj31YOf https://t.co/UdtLZYezi1,0.0,0.0,0.0,1.0
137,CBSNews,06/03/2018,Rudy Giuliani adamant that President Trump would fight Mueller subpoena to testify in Russia probe… https://t.co/KD7y72xKYa,-0.3818,0.0,0.148,0.852
138,CBSNews,06/03/2018,More than six in 10 women voters in battleground districts say the president does not respect or understand people… https://t.co/sVwz3d4Le1,-0.6433,0.0,0.226,0.774
139,CBSNews,06/03/2018,"Rep. Will Hurd says GOP members have the votes to bring immigration bill to the House floor.

""Now is time to solve… https://t.co/q4wgmiJwnd",0.0,0.0,0.0,1.0
140,CBSNews,06/03/2018,Single mom who went into labor during final exam graduates from Harvard Law School https://t.co/GgBj9FyMM3 https://t.co/tSt7ZXjSJ6,0.0,0.0,0.0,1.0
141,CBSNews,06/03/2018,"Ohio Gov. John Kasich says he is ""very, very concerned"" about North Korea summit, and the U.S. must be ""extremely c… https://t.co/en3DRP869u",0.0,0.0,0.0,1.0
142,CBSNews,06/03/2018,"Kasich scolds GOP leaders for thinking ""they have to ask permission from the president to do anything."" (via… https://t.co/RhcK8pjljf",0.0,0.0,0.0,1.0
143,CBSNews,06/03/2018,"""I have been frankly shocked at the fact that our leaders think they have to ask permission from the president to d… https://t.co/n9OZmxtIga",-0.3182,0.0,0.095,0.905
144,CBSNews,06/03/2018,"CBS News Battleground Tracker: A closer look at the parties 

In battleground districts where control of House will… https://t.co/Fv6yBCiwRU",-0.4019,0.117,0.234,0.649
145,CBSNews,06/03/2018,"2018 CBS News Battleground Tracker: Big gender gap 

There is a big gender gap in competitive districts: Democrats… https://t.co/lFkYQFjNQg",-0.25,0.083,0.132,0.784
